,state,2018_sat_participation,2018_sat_reading_and_writing,2018_sat_math,2018_sat_total,2018_act_participation,2018_act_composite
0,Alabama,6.0,595,571,1166,100.0,19.1
1,Alaska,43.0,562,544,1106,33.0,20.8
2,Arizona,29.0,577,572,1149,66.0,19.2
3,Arkansas,5.0,592,576,1169,100.0,19.4
4,California,60.0,540,536,1076,27.0,22.7
5,Colorado,100.0,519,506,1025,30.0,23.9
6,Connecticut,100.0,535,519,1053,26.0,25.6
7,Delaware,100.0,505,492,998,17.0,23.8
8,District of Columbia,92.0,497,480,977,32.0,23.6
9,Florida,56.0,550,549,1099,66.0,19.9
10,Georgia,70.0,542,522,1064,53.0,21.4
11,Hawaii,56.0,480,530,1010,89.0,18.9
12,Idaho,100.0,508,493,1001,36.0,22.3
13,Illinois,99.0,513,506,1019,43.0,23.9
14,Indiana,63.0,542,532,1074,32.0,22.5
15,Iowa,3.0,634,631,1265,68.0,21.8
16,Kansas,4.0,633,631,1265,71.0,21.6
17,Kentucky,4.0,630,618,1248,100.0,20.2
18,Louisiana,4.0,615,595,1210,100.0,19.2
19,Maine,99.0,512,501,1013,7.0,24.0
20,Maryland,76.0,545,535,1080,31.0,22.5
21,Massachusetts,80.0,562,563,1125,25.0,25.5
22,Michigan,100.0,511,499,1011,22.0,24.2
23,Minnesota,4.0,643,655,1298,99.0,21.3
24,Mississippi,3.0,630,606,1236,100.0,18.6
25,Missouri,4.0,633,629,1262,100.0,20.0
26,Montana,10.0,606,592,1198,100.0,20.0
27,Nebraska,3.0,629,623,1252,100.0,20.1
28,Nevada,23.0,574,566,1140,100.0,17.7
29,New Hampshire,96.0,535,528,1063,16.0,25.1
30,New Jersey,82.0,547,547,1094,31.0,23.7
31,New Mexico,16.0,552,540,1093,67.0,19.4
32,New York,79.0,534,534,1068,27.0,24.5
33,North Carolina,52.0,554,543,1098,100.0,19.1
34,North Dakota,2.0,640,643,1283,98.0,20.3
35,Oklahoma,8.0,541,521,1062,100.0,19.3
36,Ohio,18.0,552,547,1099,100.0,20.3
37,Oregon,48.0,564,553,1117,42.0,21.3
38,Pennsylvania,70.0,547,539,1086,20.0,23.5
39,Rhode Island,97.0,513,505,1018,15.0,24.2
40,South Carolina,55.0,547,523,1070,100.0,18.3
41,South Dakota,3.0,622,618,1240,77.0,21.9
42,Tennessee,6.0,624,607,1231,100.0,19.6
43,Texas,66.0,520,512,1032,45.0,20.7
44,Utah,4.0,480,530,1010,100.0,20.4
45,Vermont,64.0,565,554,1120,24.0,24.1
46,Virginia,68.0,567,550,1117,24.0,23.9
47,Washington,69.0,543,538,1081,24.0,22.2
48,West Virginia,28.0,513,486,999,65.0,20.3
49,Wisconsin,3.0,641,653,1294,100.0,20.5
50,Wyoming,3.0,633,625,1257,100.0,20.0
