,state,2017_sat_participation,2017_sat_reading_and_writing,2017_sat_math,2017_sat_total,2017_act_participation,2017_act_english,2017_act_math,2017_act_reading,2017_act_science,2017_act_composite,2018_sat_participation,2018_sat_reading_and_writing,2018_sat_math,2018_sat_total,2018_act_participation,2018_act_composite
0,Alabama,5.0,593,572,1165,100.0,18.9,18.4,19.7,19.4,19.2,6.0,595,571,1166,100.0,19.1
1,Alaska,38.0,547,533,1080,65.0,18.7,19.8,20.4,19.9,19.8,43.0,562,544,1106,33.0,20.8
2,Arizona,30.0,563,553,1116,62.0,18.6,19.8,20.1,19.8,19.7,29.0,577,572,1149,66.0,19.2
3,Arkansas,3.0,614,594,1208,100.0,18.9,19.0,19.7,19.5,19.4,5.0,592,576,1169,100.0,19.4
4,California,53.0,531,524,1055,31.0,22.5,22.7,23.1,22.2,22.8,60.0,540,536,1076,27.0,22.7
5,Colorado,11.0,606,595,1201,100.0,20.1,20.3,21.2,20.9,20.8,100.0,519,506,1025,30.0,23.9
6,Connecticut,100.0,530,512,1041,31.0,25.5,24.6,25.6,24.6,25.2,100.0,535,519,1053,26.0,25.6
7,Delaware,100.0,503,492,996,18.0,24.1,23.4,24.8,23.6,24.1,100.0,505,492,998,17.0,23.8
8,District of Columbia,100.0,482,468,950,32.0,24.4,23.5,24.9,23.5,24.2,92.0,497,480,977,32.0,23.6
9,Florida,83.0,520,497,1017,73.0,19.0,19.4,21.0,19.4,19.8,56.0,550,549,1099,66.0,19.9
10,Georgia,61.0,535,515,1050,55.0,21.0,20.9,22.0,21.3,21.4,70.0,542,522,1064,53.0,21.4
11,Hawaii,55.0,544,541,1085,90.0,17.8,19.2,19.2,19.3,19.0,56.0,480,530,1010,89.0,18.9
12,Idaho,93.0,513,493,1005,38.0,21.9,21.8,23.0,22.1,22.3,100.0,508,493,1001,36.0,22.3
13,Illinois,9.0,559,556,1115,93.0,21.0,21.2,21.6,21.3,21.4,99.0,513,506,1019,43.0,23.9
14,Indiana,63.0,542,532,1074,35.0,22.0,22.4,23.2,22.3,22.6,63.0,542,532,1074,32.0,22.5
15,Iowa,2.0,641,635,1275,67.0,21.2,21.3,22.6,22.1,21.9,3.0,634,631,1265,68.0,21.8
16,Kansas,4.0,632,628,1260,73.0,21.1,21.3,22.3,21.7,21.7,4.0,633,631,1265,71.0,21.6
17,Kentucky,4.0,631,616,1247,100.0,19.6,19.4,20.5,20.1,20.0,4.0,630,618,1248,100.0,20.2
18,Louisiana,4.0,611,586,1198,100.0,19.4,18.8,19.8,19.6,19.5,4.0,615,595,1210,100.0,19.2
19,Maine,95.0,513,499,1012,8.0,24.2,24.0,24.8,23.7,24.3,99.0,512,501,1013,7.0,24.0
20,Maryland,69.0,536,524,1060,28.0,23.3,23.1,24.2,23.2,23.6,76.0,545,535,1080,31.0,22.5
21,Massachusetts,76.0,555,551,1107,29.0,25.4,25.3,25.9,24.7,25.4,80.0,562,563,1125,25.0,25.5
22,Michigan,100.0,509,495,1005,29.0,24.1,23.7,24.5,23.8,24.1,100.0,511,499,1011,22.0,24.2
23,Minnesota,3.0,644,651,1295,100.0,20.4,21.5,21.8,21.6,21.5,4.0,643,655,1298,99.0,21.3
24,Mississippi,2.0,634,607,1242,100.0,18.2,18.1,18.8,18.8,18.6,3.0,630,606,1236,100.0,18.6
25,Missouri,3.0,640,631,1271,100.0,19.8,19.9,20.8,20.5,20.4,4.0,633,629,1262,100.0,20.0
26,Montana,10.0,605,591,1196,100.0,19.0,20.2,21.0,20.5,20.3,10.0,606,592,1198,100.0,20.0
